AFFGEOID,Geography,Percent_below_poverty_level,Percent_with_public_health_coverage
0500000US13261,"Sumter County, Georgia",33.4,18.7
0500000US13263,"Talbot County, Georgia",16.9,26.6
0500000US13265,"Taliaferro County, Georgia",31,28.5
0500000US13267,"Tattnall County, Georgia",23.7,19.5
0500000US13269,"Taylor County, Georgia",28.2,22.3
0500000US13271,"Telfair County, Georgia",27.7,23.5
0500000US13273,"Terrell County, Georgia",35.3,20.7
0500000US13275,"Thomas County, Georgia",19.5,19.6
0500000US13277,"Tift County, Georgia",27.8,16.1
0500000US13279,"Toombs County, Georgia",24.4,17.9
0500000US13281,"Towns County, Georgia",14.7,35.3
0500000US13283,"Treutlen County, Georgia",21,23.1
0500000US13285,"Troup County, Georgia",21.3,16.5
0500000US13287,"Turner County, Georgia",27.9,21.1
0500000US13289,"Twiggs County, Georgia",27.3,25.9
0500000US13291,"Union County, Georgia",12.8,35.4
0500000US13293,"Upson County, Georgia",22.7,21.6
0500000US13295,"Walker County, Georgia",17.2,22
0500000US13297,"Walton County, Georgia",12.8,16.2
0500000US13299,"Ware County, Georgia",24.8,20.9
0500000US13301,"Warren County, Georgia",26.8,23.2
0500000US13303,"Washington County, Georgia",27.1,20.1
0500000US13305,"Wayne County, Georgia",21.3,18.9
0500000US13307,"Webster County, Georgia",19.5,22.7
0500000US13309,"Wheeler County, Georgia",29.3,23
0500000US13311,"White County, Georgia",17.7,24.7
0500000US13313,"Whitfield County, Georgia",19.2,15.3
0500000US13315,"Wilcox County, Georgia",21.8,22.9
0500000US13317,"Wilkes County, Georgia",26.5,25.5
0500000US13319,"Wilkinson County, Georgia",23.3,22
0500000US13321,"Worth County, Georgia",21.5,20
0500000US15001,"Hawaii County, Hawaii",17.4,19.8
0500000US15003,"Honolulu County, Hawaii",9.1,17.3
0500000US15005,"Kalawao County, Hawaii",12.7,6.5
0500000US15007,"Kauai County, Hawaii",9.1,18
0500000US15009,"Maui County, Hawaii",10,17.2
0500000US16001,"Ada County, Idaho",11.8,14.2
0500000US16003,"Adams County, Idaho",13.8,31.4
0500000US16005,"Bannock County, Idaho",17.6,15.8
0500000US16007,"Bear Lake County, Idaho",14.5,21
0500000US16009,"Benewah County, Idaho",15.8,24.6
0500000US16011,"Bingham County, Idaho",13.1,14.8
0500000US16013,"Blaine County, Idaho",14.8,16
0500000US16015,"Boise County, Idaho",11.3,27.9
0500000US16017,"Bonner County, Idaho",14,24.2
0500000US16019,"Bonneville County, Idaho",11.9,14.3
0500000US16021,"Boundary County, Idaho",18.3,24.6
0500000US16023,"Butte County, Idaho",16.2,22.9
0500000US16025,"Camas County, Idaho",22.3,21.9
0500000US16027,"Canyon County, Idaho",17.1,14.8
0500000US16029,"Caribou County, Idaho",9.4,18
0500000US16031,"Cassia County, Idaho",14.7,14.3
0500000US16033,"Clark County, Idaho",24.2,10.9
0500000US16035,"Clearwater County, Idaho",13.9,33.7
0500000US16037,"Custer County, Idaho",18.9,32.5
0500000US16039,"Elmore County, Idaho",14.9,15.4
0500000US16041,"Franklin County, Idaho",12.2,15.5
0500000US16043,"Fremont County, Idaho",11.9,18.7
0500000US16045,"Gem County, Idaho",20.7,25
0500000US16047,"Gooding County, Idaho",15.9,19.2
0500000US16049,"Idaho County, Idaho",13.5,29.6
0500000US16051,"Jefferson County, Idaho",9.5,12.4
0500000US16053,"Jerome County, Idaho",16.3,14.4
0500000US16055,"Kootenai County, Idaho",12.6,19.1
0500000US16057,"Latah County, Idaho",22.5,12.9
0500000US16059,"Lemhi County, Idaho",17.1,29.5
0500000US16061,"Lewis County, Idaho",15.3,29
0500000US16063,"Lincoln County, Idaho",11.5,14.4
0500000US16065,"Madison County, Idaho",31.8,7
0500000US16067,"Minidoka County, Idaho",17.9,17.7
0500000US16069,"Nez Perce County, Idaho",14.4,21.5
0500000US16071,"Oneida County, Idaho",12.6,21.6
0500000US16073,"Owyhee County, Idaho",23.3,17.1
0500000US16075,"Payette County, Idaho",15.5,19.7
0500000US16077,"Power County, Idaho",11.6,16.2
0500000US16079,"Shoshone County, Idaho",17.4,25.6
0500000US16081,"Teton County, Idaho",8.3,10.4
0500000US16083,"Twin Falls County, Idaho",14.4,16.4
0500000US16085,"Valley County, Idaho",10.4,27.3
0500000US16087,"Washington County, Idaho",15.7,25.6
0500000US17001,"Adams County, Illinois",13.1,20.6
0500000US17003,"Alexander County, Illinois",33.4,24.1
0500000US17005,"Bond County, Illinois",15.7,19.7
0500000US17007,"Boone County, Illinois",10.6,15.9
0500000US17009,"Brown County, Illinois",11.6,21.3
0500000US17011,"Bureau County, Illinois",12.6,21.4
0500000US17013,"Calhoun County, Illinois",12.8,25.3
0500000US17015,"Carroll County, Illinois",11.3,25.9
0500000US17017,"Cass County, Illinois",13.1,18
0500000US17019,"Champaign County, Illinois",21.4,12.6
0500000US17021,"Christian County, Illinois",12.8,21.3
0500000US17023,"Clark County, Illinois",14.3,19.9
0500000US17025,"Clay County, Illinois",14,23.8
0500000US17027,"Clinton County, Illinois",9,18.1
0500000US17029,"Coles County, Illinois",21,16.8
0500000US17031,"Cook County, Illinois",15.9,14.4
0500000US17033,"Crawford County, Illinois",11.9,21.7
0500000US17035,"Cumberland County, Illinois",14.3,20.3
0500000US17037,"DeKalb County, Illinois",18.1,12.4
0500000US17039,"De Witt County, Illinois",13.3,19.9
0500000US17041,"Douglas County, Illinois",12.1,18.4
0500000US17043,"DuPage County, Illinois",6.8,14.2
0500000US17045,"Edgar County, Illinois",15.4,22.7
0500000US17047,"Edwards County, Illinois",11.5,22
0500000US17049,"Effingham County, Illinois",11.3,17.8
0500000US17051,"Fayette County, Illinois",17.8,21.4
0500000US17053,"Ford County, Illinois",15.7,19.8
0500000US17055,"Franklin County, Illinois",19.9,22.1
0500000US17057,"Fulton County, Illinois",15.5,22
0500000US17059,"Gallatin County, Illinois",16.6,25.5
0500000US17061,"Greene County, Illinois",17.9,22
0500000US17063,"Grundy County, Illinois",9.4,14.7
0500000US17065,"Hamilton County, Illinois",13.9,22.9
0500000US17067,"Hancock County, Illinois",11.2,23.1
0500000US17069,"Hardin County, Illinois",16.6,25.6
0500000US17071,"Henderson County, Illinois",11.3,25.4
0500000US17073,"Henry County, Illinois",12.5,20.4
0500000US17075,"Iroquois County, Illinois",15.5,22.7
0500000US17077,"Jackson County, Illinois",27.9,15.7
0500000US17079,"Jasper County, Illinois",12.4,21.7
0500000US17081,"Jefferson County, Illinois",18.9,21.2
0500000US17083,"Jersey County, Illinois",9.4,18.8
0500000US17085,"Jo Daviess County, Illinois",7.6,27.5
0500000US17087,"Johnson County, Illinois",13.9,25.2
0500000US17089,"Kane County, Illinois",10.4,12.7
0500000US17091,"Kankakee County, Illinois",15.1,17.1
0500000US17093,"Kendall County, Illinois",5.6,10
0500000US17095,"Knox County, Illinois",18.1,22
0500000US17097,"Lake County, Illinois",8.5,13.4
0500000US17099,"LaSalle County, Illinois",13.6,19.2
0500000US17101,"Lawrence County, Illinois",16.4,21.7
0500000US17103,"Lee County, Illinois",11.8,21.2
0500000US17105,"Livingston County, Illinois",13.3,20.1
0500000US17107,"Logan County, Illinois",9.2,20.5
0500000US17109,"McDonough County, Illinois",22.3,17.1
0500000US17111,"McHenry County, Illinois",7.3,13.6
0500000US17113,"McLean County, Illinois",14.5,13.1
0500000US17115,"Macon County, Illinois",16.6,21.1
0500000US17117,"Macoupin County, Illinois",13.3,21.2
0500000US17119,"Madison County, Illinois",13.5,18.4
0500000US17121,"Marion County, Illinois",17.8,20.9
0500000US17123,"Marshall County, Illinois",10.3,22.8
0500000US17125,"Mason County, Illinois",13.9,23.7
0500000US17127,"Massac County, Illinois",18.4,24.5
0500000US17129,"Menard County, Illinois",11.4,20.1
0500000US17131,"Mercer County, Illinois",11.4,21.8
0500000US17133,"Monroe County, Illinois",5.3,17.5
0500000US17135,"Montgomery County, Illinois",15.6,23
0500000US17137,"Morgan County, Illinois",14.9,20.4
0500000US17139,"Moultrie County, Illinois",12.1,18.2
0500000US17141,"Ogle County, Illinois",11.1,18.2
0500000US17143,"Peoria County, Illinois",15.9,17.4
0500000US17145,"Perry County, Illinois",14.7,22.7
0500000US17147,"Piatt County, Illinois",5.4,19.4
0500000US17149,"Pike County, Illinois",14.9,22.6
0500000US17151,"Pope County, Illinois",12.7,36.5
0500000US17153,"Pulaski County, Illinois",17.1,25.3
0500000US17155,"Putnam County, Illinois",8.9,22.3
0500000US17157,"Randolph County, Illinois",12.3,21.2
0500000US17159,"Richland County, Illinois",15,21.9
0500000US17161,"Rock Island County, Illinois",14.6,20.2
0500000US17163,"St. Clair County, Illinois",17,16.7
0500000US17165,"Saline County, Illinois",20.6,21.2
0500000US17167,"Sangamon County, Illinois",15.6,17.5
0500000US17169,"Schuyler County, Illinois",21.5,21.5
0500000US17171,"Scott County, Illinois",14.9,20.1
0500000US17173,"Shelby County, Illinois",12.1,22
0500000US17175,"Stark County, Illinois",14,21.9
0500000US17177,"Stephenson County, Illinois",16.1,22.4
0500000US17179,"Tazewell County, Illinois",8,18.6
0500000US17181,"Union County, Illinois",16.8,22.1
0500000US17183,"Vermilion County, Illinois",19.8,20.7
0500000US17185,"Wabash County, Illinois",13.1,22.1
0500000US17187,"Warren County, Illinois",13.8,18.8
0500000US17189,"Washington County, Illinois",9.7,19.9
0500000US17191,"Wayne County, Illinois",15.8,23.7
0500000US17193,"White County, Illinois",13.9,22.3
0500000US17195,"Whiteside County, Illinois",11.1,21.5
0500000US17197,"Will County, Illinois",7.4,12.4
0500000US17199,"Williamson County, Illinois",15.2,20.2
0500000US17201,"Winnebago County, Illinois",15.3,18.4
0500000US17203,"Woodford County, Illinois",7.4,17.3
0500000US18001,"Adams County, Indiana",18.9,16
0500000US18003,"Allen County, Indiana",14.7,14.9
0500000US18005,"Bartholomew County, Indiana",12.4,18.1
0500000US18007,"Benton County, Indiana",14.9,19.3
0500000US18009,"Blackford County, Indiana",12.8,24.4
0500000US18011,"Boone County, Indiana",6.1,13.5
0500000US18013,"Brown County, Indiana",10.6,25.1
0500000US18015,"Carroll County, Indiana",10.2,19.6
0500000US18017,"Cass County, Indiana",13.9,18.9
0500000US18019,"Clark County, Indiana",9.7,17.8
0500000US18021,"Clay County, Indiana",13.9,19.3
0500000US18023,"Clinton County, Indiana",13.3,17.4
0500000US18025,"Crawford County, Indiana",17.8,21.7
0500000US18027,"Daviess County, Indiana",13,16.1
0500000US18029,"Dearborn County, Indiana",10.1,18.6
0500000US18031,"Decatur County, Indiana",11.4,17.6
0500000US18033,"DeKalb County, Indiana",12.5,17.4
0500000US18035,"Delaware County, Indiana",21.2,19.2
0500000US18037,"Dubois County, Indiana",10,17.1
0500000US18039,"Elkhart County, Indiana",13.8,15.2
0500000US18041,"Fayette County, Indiana",18.2,22.6
0500000US18043,"Floyd County, Indiana",10.8,16.9
0500000US18045,"Fountain County, Indiana",12.6,22
0500000US18047,"Franklin County, Indiana",9.9,18.4
0500000US18049,"Fulton County, Indiana",13.3,21.1
0500000US18051,"Gibson County, Indiana",10.7,18.5
0500000US18053,"Grant County, Indiana",19.1,20.9
0500000US18055,"Greene County, Indiana",12.9,21.5
0500000US18057,"Hamilton County, Indiana",5,11.5
0500000US18059,"Hancock County, Indiana",7,16.6
0500000US18061,"Harrison County, Indiana",12.9,20.5
0500000US18063,"Hendricks County, Indiana",5.1,13.9
0500000US18065,"Henry County, Indiana",16.1,21.2
0500000US18067,"Howard County, Indiana",16.5,21
0500000US18069,"Huntington County, Indiana",11.6,18.2
0500000US18071,"Jackson County, Indiana",15.6,18.2
0500000US18073,"Jasper County, Indiana",9,19.2
0500000US18075,"Jay County, Indiana",17.9,19.7
0500000US18077,"Jefferson County, Indiana",13.7,19
0500000US18079,"Jennings County, Indiana",13.9,19.7
0500000US18081,"Johnson County, Indiana",9.4,15.2
0500000US18083,"Knox County, Indiana",15.6,19.3
0500000US18085,"Kosciusko County, Indiana",11.2,17.3
0500000US18087,"LaGrange County, Indiana",9.1,13.1
0500000US18089,"Lake County, Indiana",16.8,17
0500000US18091,"LaPorte County, Indiana",16.6,19.8
0500000US18093,"Lawrence County, Indiana",11.5,21.8
0500000US18095,"Madison County, Indiana",17.4,21.3
0500000US18097,"Marion County, Indiana",19.8,14.1
0500000US18099,"Marshall County, Indiana",11.5,19
0500000US18101,"Martin County, Indiana",13.3,20.4
0500000US18103,"Miami County, Indiana",16,19.6
0500000US18105,"Monroe County, Indiana",24.7,12.7
0500000US18107,"Montgomery County, Indiana",10.2,18.5
0500000US18109,"Morgan County, Indiana",11.8,17.7
0500000US18111,"Newton County, Indiana",14,19
0500000US18113,"Noble County, Indiana",9.3,16.6
0500000US18115,"Ohio County, Indiana",5,22.5
0500000US18117,"Orange County, Indiana",15,21.7
0500000US18119,"Owen County, Indiana",15.6,19.9
0500000US18121,"Parke County, Indiana",13.9,22.2
0500000US18123,"Perry County, Indiana",14.5,21.4
0500000US18125,"Pike County, Indiana",10.6,21.1
0500000US18127,"Porter County, Indiana",11,16.2
0500000US18129,"Posey County, Indiana",9.5,18.9
0500000US18131,"Pulaski County, Indiana",13.2,20.3
0500000US18133,"Putnam County, Indiana",11.6,18.5
0500000US18135,"Randolph County, Indiana",17,21.7
0500000US18137,"Ripley County, Indiana",10.5,18.8
0500000US18139,"Rush County, Indiana",18.3,19.6
0500000US18141,"St. Joseph County, Indiana",17.1,16.7
0500000US18143,"Scott County, Indiana",13.7,20.7
0500000US18145,"Shelby County, Indiana",10.6,17.4
0500000US18147,"Spencer County, Indiana",9.7,20.1
0500000US18149,"Starke County, Indiana",16.7,21.4
0500000US18151,"Steuben County, Indiana",10.1,19.8
0500000US18153,"Sullivan County, Indiana",15.6,19.1
0500000US18155,"Switzerland County, Indiana",19.7,19.9
0500000US18157,"Tippecanoe County, Indiana",20.9,11.9
0500000US18159,"Tipton County, Indiana",9.4,21.1
0500000US18161,"Union County, Indiana",8.2,21.3
0500000US18163,"Vanderburgh County, Indiana",18,17.8
0500000US18165,"Vermillion County, Indiana",13.4,22
0500000US18167,"Vigo County, Indiana",19.9,18.3
0500000US18169,"Wabash County, Indiana",13.3,20.5
0500000US18171,"Warren County, Indiana",9.5,21.8
0500000US18173,"Warrick County, Indiana",7.7,16.9
0500000US18175,"Washington County, Indiana",13.3,20.6
0500000US18177,"Wayne County, Indiana",18.2,21.8
0500000US18179,"Wells County, Indiana",11,18.3
0500000US18181,"White County, Indiana",9.8,21.4
0500000US18183,"Whitley County, Indiana",9.5,18.6
0500000US19001,"Adair County, Iowa",9.5,23.2
0500000US19003,"Adams County, Iowa",11.2,23.7
0500000US19005,"Allamakee County, Iowa",11.4,22.5
0500000US19007,"Appanoose County, Iowa",17.1,24.3
0500000US19009,"Audubon County, Iowa",11.1,24
0500000US19011,"Benton County, Iowa",8.7,19.5
0500000US19013,"Black Hawk County, Iowa",15.9,17.1
0500000US19015,"Boone County, Iowa",9.4,18.3
0500000US19017,"Bremer County, Iowa",7.7,18.9
0500000US19019,"Buchanan County, Iowa",7.8,17.8
0500000US19021,"Buena Vista County, Iowa",13.7,14
0500000US19023,"Butler County, Iowa",9.4,21.8
0500000US19025,"Calhoun County, Iowa",15.3,24.2
0500000US19027,"Carroll County, Iowa",10.3,20.6
0500000US19029,"Cass County, Iowa",15.1,23.5
0500000US19031,"Cedar County, Iowa",5.4,19.3
0500000US19033,"Cerro Gordo County, Iowa",11.3,22.8
0500000US19035,"Cherokee County, Iowa",11.9,22.7
0500000US19037,"Chickasaw County, Iowa",8.9,21.1
0500000US19039,"Clarke County, Iowa",15.4,19
0500000US19041,"Clay County, Iowa",11.8,21.9
0500000US19043,"Clayton County, Iowa",10.4,23.1
0500000US19045,"Clinton County, Iowa",13.1,20.4
0500000US19047,"Crawford County, Iowa",18.5,17.4
0500000US19049,"Dallas County, Iowa",5.4,11.7
0500000US19051,"Davis County, Iowa",13.7,18.8
0500000US19053,"Decatur County, Iowa",19.1,19.2
0500000US19055,"Delaware County, Iowa",9.2,18.8
0500000US19057,"Des Moines County, Iowa",15.3,21.3
0500000US19059,"Dickinson County, Iowa",8.1,25.4
0500000US19061,"Dubuque County, Iowa",11.9,17.4
0500000US19063,"Emmet County, Iowa",13.8,20.5
0500000US19065,"Fayette County, Iowa",12.8,22.9
0500000US19067,"Floyd County, Iowa",15.6,22.1
0500000US19069,"Franklin County, Iowa",15.6,21.4
0500000US19071,"Fremont County, Iowa",11,22.8
0500000US19073,"Greene County, Iowa",10,21.9
0500000US19075,"Grundy County, Iowa",5.8,20.7
0500000US19077,"Guthrie County, Iowa",10.1,22.5
0500000US19079,"Hamilton County, Iowa",9.4,20.8
0500000US19081,"Hancock County, Iowa",9.1,22.2
0500000US19083,"Hardin County, Iowa",8,20.9
0500000US19085,"Harrison County, Iowa",10.4,19.2
0500000US19087,"Henry County, Iowa",12.2,20.1
0500000US19089,"Howard County, Iowa",11.6,20.4
0500000US19091,"Humboldt County, Iowa",13,22
0500000US19093,"Ida County, Iowa",10.3,21.2
0500000US19095,"Iowa County, Iowa",9.8,18.8
0500000US19097,"Jackson County, Iowa",12,20.9
0500000US19099,"Jasper County, Iowa",9.1,21.4
0500000US19101,"Jefferson County, Iowa",15.2,19.8
0500000US19103,"Johnson County, Iowa",17.7,10.8
0500000US19105,"Jones County, Iowa",9.1,21
0500000US19107,"Keokuk County, Iowa",11.2,22
0500000US19109,"Kossuth County, Iowa",10,23.2
0500000US19111,"Lee County, Iowa",16.3,21.6
0500000US19113,"Linn County, Iowa",9.5,15.8
0500000US19115,"Louisa County, Iowa",11,18.4
0500000US19117,"Lucas County, Iowa",9.9,22.9
0500000US19119,"Lyon County, Iowa",4.9,17.6
0500000US19121,"Madison County, Iowa",7.3,17
0500000US19123,"Mahaska County, Iowa",14.4,19.5
0500000US19125,"Marion County, Iowa",9.3,18.8
0500000US19127,"Marshall County, Iowa",11.2,18.2
0500000US19129,"Mills County, Iowa",9.1,18.7
0500000US19131,"Mitchell County, Iowa",8.3,21.8
0500000US19133,"Monona County, Iowa",14.9,24.6
0500000US19135,"Monroe County, Iowa",10.9,19.3
0500000US19137,"Montgomery County, Iowa",16.5,22.2
0500000US19139,"Muscatine County, Iowa",10.5,16.5
0500000US19141,"O'Brien County, Iowa",9.7,21.9
0500000US19143,"Osceola County, Iowa",11.4,21
0500000US19145,"Page County, Iowa",13.6,23.1
0500000US19147,"Palo Alto County, Iowa",7.1,22.1
0500000US19149,"Plymouth County, Iowa",9.1,18.2
0500000US19151,"Pocahontas County, Iowa",13.2,21.8
0500000US19153,"Polk County, Iowa",11.7,13.3
0500000US19155,"Pottawattamie County, Iowa",11.2,18.3
0500000US19157,"Poweshiek County, Iowa",10.7,19.6
0500000US19159,"Ringgold County, Iowa",10.9,23.5
0500000US19161,"Sac County, Iowa",9.4,23
0500000US19163,"Scott County, Iowa",12.3,16.6
0500000US19165,"Shelby County, Iowa",8.7,23.1
0500000US19167,"Sioux County, Iowa",7.9,14.5
0500000US19169,"Story County, Iowa",22,11.4
0500000US19171,"Tama County, Iowa",11.8,19.9
0500000US19173,"Taylor County, Iowa",11,22.8
0500000US19175,"Union County, Iowa",13.8,22.1
0500000US19177,"Van Buren County, Iowa",14,22.6
0500000US19179,"Wapello County, Iowa",17,19.9
0500000US19181,"Warren County, Iowa",6.2,15.3
0500000US19183,"Washington County, Iowa",9.1,19.3
0500000US19185,"Wayne County, Iowa",15.9,23.7
0500000US19187,"Webster County, Iowa",16.2,20.5
0500000US19189,"Winnebago County, Iowa",10.1,20.8
0500000US19191,"Winneshiek County, Iowa",8,18.8
0500000US19193,"Woodbury County, Iowa",14,16.2
0500000US19195,"Worth County, Iowa",10.1,21.1
0500000US19197,"Wright County, Iowa",12.6,23.1
0500000US20001,"Allen County, Kansas",14.2,21.7
0500000US20003,"Anderson County, Kansas",13.6,23.4
0500000US20005,"Atchison County, Kansas",18.5,19.2
0500000US20007,"Barber County, Kansas",15.9,23.7
0500000US20009,"Barton County, Kansas",15.7,19.5
0500000US20011,"Bourbon County, Kansas",17.6,21.2
0500000US20013,"Brown County, Kansas",13.2,21.6
0500000US20015,"Butler County, Kansas",10.8,15.5
0500000US20017,"Chase County, Kansas",12.6,25.6
0500000US20019,"Chautauqua County, Kansas",14.3,28.5
0500000US20021,"Cherokee County, Kansas",13.7,22.4
0500000US20023,"Cheyenne County, Kansas",11.2,28.3
0500000US20025,"Clark County, Kansas",8.9,20.8
0500000US20027,"Clay County, Kansas",9.4,23.7
0500000US20029,"Cloud County, Kansas",11.9,21.9
0500000US20031,"Coffey County, Kansas",11.3,20.9
0500000US20033,"Comanche County, Kansas",8.1,24.7
0500000US20035,"Cowley County, Kansas",16,19.5
0500000US20037,"Crawford County, Kansas",21.1,17.3
0500000US20039,"Decatur County, Kansas",17.5,28.8
0500000US20041,"Dickinson County, Kansas",11.6,21.1
0500000US20043,"Doniphan County, Kansas",13.7,19.3
0500000US20045,"Douglas County, Kansas",18.7,12
0500000US20047,"Edwards County, Kansas",10.2,20.8
0500000US20049,"Elk County, Kansas",13.5,30.5
0500000US20051,"Ellis County, Kansas",16.7,15.6
0500000US20053,"Ellsworth County, Kansas",11.4,25.1
0500000US20055,"Finney County, Kansas",16.2,10.9
0500000US20057,"Ford County, Kansas",16.2,11.2
0500000US20059,"Franklin County, Kansas",12.5,17.4
0500000US20061,"Geary County, Kansas",14.9,10.2
0500000US20063,"Gove County, Kansas",9,26.9
0500000US20065,"Graham County, Kansas",12.3,30
0500000US20067,"Grant County, Kansas",10,11.3
0500000US20069,"Gray County, Kansas",8.5,13.9
0500000US20071,"Greeley County, Kansas",11.5,22.9
0500000US20073,"Greenwood County, Kansas",12.4,27.3
0500000US20075,"Hamilton County, Kansas",9.3,14
0500000US20077,"Harper County, Kansas",16.8,23.4
0500000US20079,"Harvey County, Kansas",11.2,19.8
0500000US20081,"Haskell County, Kansas",13.3,14.1
0500000US20083,"Hodgeman County, Kansas",8.4,21.2
0500000US20085,"Jackson County, Kansas",9.9,20
0500000US20087,"Jefferson County, Kansas",8.3,20
0500000US20089,"Jewell County, Kansas",14.2,31.1
0500000US20091,"Johnson County, Kansas",5.6,13.4
0500000US20093,"Kearny County, Kansas",13.2,14.9
0500000US20095,"Kingman County, Kansas",7.6,22.3
0500000US20097,"Kiowa County, Kansas",8.7,24
0500000US20099,"Labette County, Kansas",17.8,20.7
0500000US20101,"Lane County, Kansas",10.7,20.4
0500000US20103,"Leavenworth County, Kansas",9,16.2
0500000US20105,"Lincoln County, Kansas",8.4,24.7
0500000US20107,"Linn County, Kansas",17.4,23.8
0500000US20109,"Logan County, Kansas",8.9,20.8
0500000US20111,"Lyon County, Kansas",18.6,15.2
0500000US20113,"McPherson County, Kansas",7.6,19
0500000US20115,"Marion County, Kansas",10.7,23.6
0500000US20117,"Marshall County, Kansas",8.9,21.8
0500000US20119,"Meade County, Kansas",12.2,17.4
0500000US20121,"Miami County, Kansas",7.7,17.1
0500000US20123,"Mitchell County, Kansas",14.8,22.5
0500000US20125,"Montgomery County, Kansas",17.5,21.2
0500000US20127,"Morris County, Kansas",9.8,24.5
0500000US20129,"Morton County, Kansas",8,18.9
0500000US20131,"Nemaha County, Kansas",10.8,19
0500000US20133,"Neosho County, Kansas",21.4,20.9
0500000US20135,"Ness County, Kansas",8.9,24.9
0500000US20137,"Norton County, Kansas",11.6,23.2
0500000US20139,"Osage County, Kansas",12.8,21.9
0500000US20141,"Osborne County, Kansas",15.5,23.8
0500000US20143,"Ottawa County, Kansas",9.7,20.7
0500000US20145,"Pawnee County, Kansas",7.8,25.2
0500000US20147,"Phillips County, Kansas",8.1,23.2
0500000US20149,"Pottawatomie County, Kansas",9.7,15.2
0500000US20151,"Pratt County, Kansas",10.9,20.1
0500000US20153,"Rawlins County, Kansas",8.7,28.5
0500000US20155,"Reno County, Kansas",14,20.8
0500000US20157,"Republic County, Kansas",11.7,27.4
0500000US20159,"Rice County, Kansas",16.4,18.4
0500000US20161,"Riley County, Kansas",22,9.7
0500000US20163,"Rooks County, Kansas",11.3,23.3
0500000US20165,"Rush County, Kansas",6.7,26.1
0500000US20167,"Russell County, Kansas",13.8,25.6
0500000US20169,"Saline County, Kansas",12.6,18.9
0500000US20171,"Scott County, Kansas",4.3,18.9
0500000US20173,"Sedgwick County, Kansas",14.7,15.2
0500000US20175,"Seward County, Kansas",18.8,9.7
0500000US20177,"Shawnee County, Kansas",13.2,18.9
0500000US20179,"Sheridan County, Kansas",4.8,23.4
0500000US20181,"Sherman County, Kansas",16.5,21.5
0500000US20183,"Smith County, Kansas",13.3,27.3
0500000US20185,"Stafford County, Kansas",14.5,21.4
0500000US20187,"Stanton County, Kansas",10.8,18.6
0500000US20189,"Stevens County, Kansas",16.8,12.9
0500000US20191,"Sumner County, Kansas",11.8,18.8
0500000US20193,"Thomas County, Kansas",11.1,16
0500000US20195,"Trego County, Kansas",4.8,22.5
0500000US20197,"Wabaunsee County, Kansas",6.1,18.3
0500000US20199,"Wallace County, Kansas",10.6,20.3
0500000US20201,"Washington County, Kansas",9.7,23.8
0500000US20203,"Wichita County, Kansas",4.4,18.5
0500000US20205,"Wilson County, Kansas",16.8,23.5
0500000US20207,"Woodson County, Kansas",20.6,26.9
0500000US20209,"Wyandotte County, Kansas",21.4,13.9
0500000US21001,"Adair County, Kentucky",21.5,21.1
0500000US21003,"Allen County, Kentucky",20,22.2
0500000US21005,"Anderson County, Kentucky",12,16.4
0500000US21007,"Ballard County, Kentucky",18.2,22.4
0500000US21009,"Barren County, Kentucky",22.9,20.5
0500000US21011,"Bath County, Kentucky",24,19.8
0500000US21013,"Bell County, Kentucky",38,24.7
0500000US21015,"Boone County, Kentucky",7.6,13.4
0500000US21017,"Bourbon County, Kentucky",16.6,21.1
0500000US21019,"Boyd County, Kentucky",19.3,24.2
0500000US21021,"Boyle County, Kentucky",15.5,22
0500000US21023,"Bracken County, Kentucky",21.4,21.4
0500000US21025,"Breathitt County, Kentucky",36,22.6
0500000US21027,"Breckinridge County, Kentucky",17.7,23.5
0500000US21029,"Bullitt County, Kentucky",10.2,18.3
0500000US21031,"Butler County, Kentucky",22,22.5
0500000US21033,"Caldwell County, Kentucky",17.5,22.5
0500000US21035,"Calloway County, Kentucky",22.4,19.2
0500000US21037,"Campbell County, Kentucky",14.2,17.3
0500000US21039,"Carlisle County, Kentucky",17.3,23.5
0500000US21041,"Carroll County, Kentucky",27.7,17.2
0500000US21043,"Carter County, Kentucky",21.5,21.3
0500000US21045,"Casey County, Kentucky",26.6,24.3
0500000US21047,"Christian County, Kentucky",19.7,16
0500000US21049,"Clark County, Kentucky",15,20.6
0500000US21051,"Clay County, Kentucky",39.5,21.2
0500000US21053,"Clinton County, Kentucky",20,26.4
0500000US21055,"Crittenden County, Kentucky",17.7,23.6
0500000US21057,"Cumberland County, Kentucky",20.7,24.7
0500000US21059,"Daviess County, Kentucky",15.8,19.4
0500000US21061,"Edmonson County, Kentucky",20,24.5
0500000US21063,"Elliott County, Kentucky",34.4,24.6
0500000US21065,"Estill County, Kentucky",30.4,23.2
0500000US21067,"Fayette County, Kentucky",18.6,13.7
0500000US21069,"Fleming County, Kentucky",19.5,21.6
0500000US21071,"Floyd County, Kentucky",30.7,25.3
0500000US21073,"Franklin County, Kentucky",13.1,19.4
0500000US21075,"Fulton County, Kentucky",25.3,25.9
0500000US21077,"Gallatin County, Kentucky",13.4,16.4
0500000US21079,"Garrard County, Kentucky",18.2,20.1
0500000US21081,"Grant County, Kentucky",21.5,18.1
0500000US21083,"Graves County, Kentucky",19.2,20.3
0500000US21085,"Grayson County, Kentucky",25.7,23.8
0500000US21087,"Green County, Kentucky",19,23.8
0500000US21089,"Greenup County, Kentucky",16.5,25.2
