AFFGEOID,Geography,Percent_below_poverty_level,Percent_with_public_health_coverage
0500000US05003,"Ashley County, Arkansas",21.3,22.6
0500000US05005,"Baxter County, Arkansas",12.6,34.9
0500000US05007,"Benton County, Arkansas",10.5,14.5
0500000US05009,"Boone County, Arkansas",15.8,24.2
0500000US05011,"Bradley County, Arkansas",26.4,21.6
0500000US05013,"Calhoun County, Arkansas",19.6,26.1
0500000US05015,"Carroll County, Arkansas",15.7,24.5
0500000US05017,"Chicot County, Arkansas",29.4,23.4
0500000US05019,"Clark County, Arkansas",21.5,18.2
0500000US05021,"Clay County, Arkansas",22.3,26.4
0500000US05023,"Cleburne County, Arkansas",15.4,29.5
0500000US05025,"Cleveland County, Arkansas",19.3,22.8
0500000US05027,"Columbia County, Arkansas",25.1,20.5
0500000US05029,"Conway County, Arkansas",18.5,23.7
0500000US05031,"Craighead County, Arkansas",18.3,16.5
0500000US05033,"Crawford County, Arkansas",16.6,21.4
0500000US05035,"Crittenden County, Arkansas",23.5,16.1
0500000US05037,"Cross County, Arkansas",18,20.7
0500000US05039,"Dallas County, Arkansas",13.2,28.8
0500000US05041,"Desha County, Arkansas",32.6,21.7
0500000US05043,"Drew County, Arkansas",24.4,20.9
0500000US05045,"Faulkner County, Arkansas",16.3,14.5
0500000US05047,"Franklin County, Arkansas",21.9,24.7
0500000US05049,"Fulton County, Arkansas",23,31.1
0500000US05051,"Garland County, Arkansas",19.1,26.1
0500000US05053,"Grant County, Arkansas",14.4,19.6
0500000US05055,"Greene County, Arkansas",15.9,19.9
0500000US05057,"Hempstead County, Arkansas",25.3,20.5
0500000US05059,"Hot Spring County, Arkansas",15.8,23.1
0500000US05061,"Howard County, Arkansas",21,21.3
0500000US05063,"Independence County, Arkansas",18.5,21.3
0500000US05065,"Izard County, Arkansas",17.7,30.1
0500000US05067,"Jackson County, Arkansas",25.1,24.7
0500000US05069,"Jefferson County, Arkansas",24.7,20.4
0500000US05071,"Johnson County, Arkansas",22.5,19.2
0500000US05073,"Lafayette County, Arkansas",23.8,28.5
0500000US05075,"Lawrence County, Arkansas",18.4,23.9
0500000US05077,"Lee County, Arkansas",27.3,25.4
0500000US05079,"Lincoln County, Arkansas",17.9,23.5
0500000US05081,"Little River County, Arkansas",18.8,25.8
0500000US05083,"Logan County, Arkansas",20.2,22.9
0500000US05085,"Lonoke County, Arkansas",12.3,15.7
0500000US05087,"Madison County, Arkansas",17.8,22.1
0500000US05089,"Marion County, Arkansas",19.5,32.5
0500000US05091,"Miller County, Arkansas",21,20.9
0500000US05093,"Mississippi County, Arkansas",25.6,18.5
0500000US05095,"Monroe County, Arkansas",28.6,27
0500000US05097,"Montgomery County, Arkansas",18.1,30.1
0500000US05099,"Nevada County, Arkansas",23,22.8
0500000US05101,"Newton County, Arkansas",17.8,29.1
0500000US05103,"Ouachita County, Arkansas",26,23.6
0500000US05105,"Perry County, Arkansas",17.8,24.5
0500000US05107,"Phillips County, Arkansas",33,22.1
0500000US05109,"Pike County, Arkansas",17.3,22.2
0500000US05111,"Poinsett County, Arkansas",21.4,22.9
0500000US05113,"Polk County, Arkansas",26.6,26.8
0500000US05115,"Pope County, Arkansas",19.8,18.7
0500000US05117,"Prairie County, Arkansas",16.8,25.7
0500000US05119,"Pulaski County, Arkansas",17.3,17.1
0500000US05121,"Randolph County, Arkansas",20.9,25.6
0500000US05123,"St. Francis County, Arkansas",27.5,21.1
0500000US05125,"Saline County, Arkansas",8,18.8
0500000US05127,"Scott County, Arkansas",20.5,25.8
0500000US05129,"Searcy County, Arkansas",17.4,28.7
0500000US05131,"Sebastian County, Arkansas",22.5,18.5
0500000US05133,"Sevier County, Arkansas",21.2,15.7
0500000US05135,"Sharp County, Arkansas",23.3,32.1
0500000US05137,"Stone County, Arkansas",24.2,32.2
0500000US05139,"Union County, Arkansas",20.1,21.3
0500000US05141,"Van Buren County, Arkansas",19.6,31
0500000US05143,"Washington County, Arkansas",18,12.7
0500000US05145,"White County, Arkansas",16.6,19.1
0500000US05147,"Woodruff County, Arkansas",26,25.7
0500000US05149,"Yell County, Arkansas",17.8,21
0500000US06001,"Alameda County, California",11.3,13.3
0500000US06003,"Alpine County, California",19.8,30.5
0500000US06005,"Amador County, California",10.6,29.3
0500000US06007,"Butte County, California",20.5,20.3
0500000US06009,"Calaveras County, California",12.8,30.1
0500000US06011,"Colusa County, California",14,13.8
0500000US06013,"Contra Costa County, California",9.8,15.3
0500000US06015,"Del Norte County, California",23.2,21.6
0500000US06017,"El Dorado County, California",9.8,20.9
0500000US06019,"Fresno County, California",25.4,13
0500000US06021,"Glenn County, California",19.6,18.1
0500000US06023,"Humboldt County, California",20.8,19.4
0500000US06025,"Imperial County, California",23.8,15.2
0500000US06027,"Inyo County, California",10.2,24
0500000US06029,"Kern County, California",22.6,12.1
0500000US06031,"Kings County, California",20.9,19.1
0500000US06033,"Lake County, California",22.8,28.2
0500000US06035,"Lassen County, California",14.6,21
0500000US06037,"Los Angeles County, California",17,13.2
0500000US06039,"Madera County, California",22.1,15
0500000US06041,"Marin County, California",8.1,20.9
0500000US06043,"Mariposa County, California",15.1,28.1
0500000US06045,"Mendocino County, California",19.1,22
0500000US06047,"Merced County, California",23.3,12.4
0500000US06049,"Modoc County, California",18.1,29.6
0500000US06051,"Mono County, California",9.9,15.5
0500000US06053,"Monterey County, California",14.7,13.6
0500000US06055,"Napa County, California",8.2,18.1
0500000US06057,"Nevada County, California",12.1,26.9
0500000US06059,"Orange County, California",12.1,13.9
0500000US06061,"Placer County, California",8.2,19.5
0500000US06063,"Plumas County, California",13.3,28.9
0500000US06065,"Riverside County, California",15.6,14.7
0500000US06067,"Sacramento County, California",16.7,14.7
0500000US06069,"San Benito County, California",9.7,12.8
0500000US06071,"San Bernardino County, California",18.2,12.1
0500000US06073,"San Diego County, California",13.3,14.1
0500000US06075,"San Francisco County, California",11.7,15.5
0500000US06077,"San Joaquin County, California",17.1,13.3
0500000US06079,"San Luis Obispo County, California",13.8,19.4
0500000US06081,"San Mateo County, California",7.3,15.1
0500000US06083,"Santa Barbara County, California",15.4,15.1
0500000US06085,"Santa Clara County, California",8.6,12.8
0500000US06087,"Santa Cruz County, California",14.7,15.4
0500000US06089,"Shasta County, California",18.1,22.7
0500000US06091,"Sierra County, California",12.3,27.9
0500000US06093,"Siskiyou County, California",20.7,27.1
0500000US06095,"Solano County, California",11.5,15.8
0500000US06097,"Sonoma County, California",10.7,18.8
0500000US06099,"Stanislaus County, California",17.2,14
0500000US06101,"Sutter County, California",16.7,16.3
0500000US06103,"Tehama County, California",20.9,22.6
